chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-O,FeO_1245001_POSCAR,35,local_max_drop,13.2585033974,-0.61410035517814,-0.3583258265718152,-0.25577452860632477,12.197823,25.986667,0.02537093
Fe-O,FeO_1245168_POSCAR,35,local_max_drop,13.1212368071,-0.55992833580128,-0.34219468502922673,-0.21773365077205326,12.071538,25.717624,0.02442064
Fe-O,FeO_1274279_POSCAR,35,global_gradient_fallback,3.7220702011,-0.086526612178479,-0.04766787337874741,-0.03885873879973159,3.411898,7.599227,0.01120706
Fe-O,FeO_1283030_POSCAR,35,global_gradient_fallback,3.7879673607,-0.086680335089301,-0.04749369506555884,-0.039186640023742156,3.472303,7.733767,0.01098507
Fe-O,FeO_18905_POSCAR,35,global_gradient_fallback,5.3229070625,-0.046489335117394,-0.023555610229731353,-0.022933724887662644,4.897074,10.432898,0.0041124
Fe-O,FeO_1974703_POSCAR,35,global_gradient_fallback,3.9632359955,-0.090785844202185,-0.046142153355006786,-0.04464369084717821,3.487648,7.767943,0.01089665
Fe-O,FeO_2767639_POSCAR,35,global_gradient_fallback,3.8208496725,-0.092756474150107,-0.04692817257555632,-0.04582830157455068,3.515182,7.488865,0.0114364
Fe-O,FeO_715262_POSCAR,35,global_gradient_fallback,3.6036953315,-0.042432897326898,-0.023808211075737284,-0.018624686251160715,3.303387,7.357545,0.0057849
Fe-O,FeO_753682_POSCAR,35,global_gradient_fallback,4.8529410566,-0.052676230451479,-0.046630083075283255,-0.006046147376195743,4.246323,9.908088,0.0085066
Fe-O,FeO_754765_POSCAR,35,global_gradient_fallback,4.083984444,-0.065569175207581,-0.0441707808159208,-0.0213983943916602,3.573486,8.338135,0.00960768
Fe-O,FeO_755189_POSCAR,35,global_gradient_fallback,3.6995738409,-0.031845228138249,-0.031046202807358963,-0.0007990253308900359,2.466383,7.553297,0.00748832
Fe-O,FeO_756436_POSCAR,35,global_gradient_fallback,3.564997314,-0.031635463124053,-0.022668981191647532,-0.008966481932405467,3.416456,7.278536,0.00551455
Fe-O,FeO_849689_POSCAR,35,local_max_drop,6.634828225,-0.24142221778859,-0.1091469448059731,-0.13227527298261688,5.307863,13.004263,0.01508005
