chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Zn-S,ZnS_556000_POSCAR,35,local_max_drop,5.143151862,-0.24859902648034,-0.17542058853278264,-0.07317843794755735,4.762178,9.333868,0.03727504
Zn-S,ZnS_556155_POSCAR,35,local_max_drop,5.1396304545,-0.22614676265234,-0.15961606754548133,-0.06653069510685866,4.758917,9.327477,0.03393476
Zn-S,ZnS_556207_POSCAR,35,local_max_drop,5.138861535,-0.22621603272395,-0.1596633937978029,-0.0665526389261471,4.758205,9.326082,0.0339526
Zn-S,ZnS_556280_POSCAR,35,local_max_drop,5.139056124,-0.22613751330081,-0.1596067034432174,-0.0665308098575926,4.758385,9.326435,0.03393695
Zn-S,ZnS_556543_POSCAR,35,local_max_drop,5.143827159,-0.24850959387744,-0.17535330091319756,-0.07315629296424245,4.762803,9.335094,0.03725398
Zn-S,ZnS_556732_POSCAR,35,local_max_drop,5.139614916,-0.22616202536555,-0.15963151154889152,-0.06653051381665848,4.758903,9.327449,0.03393749
Zn-S,ZnS_556784_POSCAR,35,local_max_drop,5.141954331,-0.24864082341104,-0.1754835913430763,-0.07315723206796368,4.761069,9.331695,0.03728968
Zn-S,ZnS_557009_POSCAR,35,local_max_drop,5.1395742405,-0.22622453585469,-0.1596714356872071,-0.06655310016748289,4.758865,9.327375,0.03394925
Zn-S,ZnS_557062_POSCAR,35,local_max_drop,5.143220847,-0.22610359435013,-0.15954944267522253,-0.06655415167490747,4.762242,9.333993,0.03390456
Zn-S,ZnS_557418_POSCAR,35,local_max_drop,5.1397281135,-0.22623451264661,-0.15968141285329804,-0.06655309979331195,4.759008,9.327655,0.03394995
Zn-S,ZnS_561286_POSCAR,35,local_max_drop,5.1417043785,-0.22598729583459,-0.1594787690482362,-0.0665085267863538,4.760837,9.331241,0.03389299
Zn-S,ZnS_581405_POSCAR,35,local_max_drop,5.009250207,-0.4503367553291,-0.3234426976199964,-0.1268940577091036,4.816587,9.44051,0.06565288
Zn-S,ZnS_581425_POSCAR,35,local_max_drop,5.009491266,-0.40493675809082,-0.29111478441573624,-0.11382197367508379,4.816819,9.440964,0.05908366
Zn-S,ZnS_582680_POSCAR,35,local_max_drop,5.007936193,-0.40476847314265,-0.2912574860031377,-0.1135109871395123,4.815323,9.438034,0.05912925
Zn-S,ZnS_647075_POSCAR,35,local_max_drop,5.011672445,-0.72184295674328,-0.5168905538591282,-0.20495240288415184,4.818916,9.445075,0.10488397
Zn-S,ZnS_680085_POSCAR,35,local_max_drop,5.009197154,-0.4950037662467,-0.35563526805575024,-0.13936849819094976,4.816536,9.44041,0.07218337
Zn-S,ZnS_680087_POSCAR,35,local_max_drop,5.009476758,-0.49535399665493,-0.35565564814884454,-0.13969834850608548,4.816805,9.440937,0.07218777
