chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Ti-O,TiO2_1350429_POSCAR,35,local_max_drop,8.7745206929,-0.23655841087038,-0.09948829344540801,-0.137070117424972,7.897069,14.331717,0.01212042
Ti-O,TiO2_1380335_POSCAR,35,local_max_drop,9.031272885,-0.18665466879603,-0.06920926106909035,-0.11744540772693964,8.128146,14.751079,0.00747689
Ti-O,TiO2_1408285_POSCAR,35,global_gradient_fallback,7.5064628354,-0.055638730683746,-0.025143589153697084,-0.030495141530048918,6.988776,12.683334,0.00323442
Ti-O,TiO2_1426806_POSCAR,35,global_gradient_fallback,4.2471234938,-0.015665459615634,-0.012885968440408716,-0.0027794911752252825,2.343241,7.176174,0.00362301
Ti-O,TiO2_1439_POSCAR,35,global_gradient_fallback,6.5907568475,-0.079557098854224,-0.03323943371801257,-0.04631766513621143,6.136222,11.136106,0.00533583
Ti-O,TiO2_1445035_POSCAR,35,global_gradient_fallback,4.995984048,-0.010025564397064,-0.008671809123543171,-0.0013537552735208291,4.651433,8.44149,0.00183377
Ti-O,TiO2_1840_POSCAR,35,local_max_drop,7.466222666,-0.14496225554598,-0.05797223254357667,-0.08699002300240333,7.208767,12.615342,0.00773844
Ti-O,TiO2_2739239_POSCAR,35,local_max_drop,4.504016655,-0.13700173979113,-0.05271858274310043,-0.08428315704802958,4.203749,7.356561,0.01214892
Ti-O,TiO2_2901430_POSCAR,35,local_max_drop,7.4808417255,-0.13247251107486,-0.04640374664327255,-0.08606876443158745,6.964922,12.640043,0.00528309
Ti-O,TiO2_430_POSCAR,35,local_max_drop,6.978414681,-0.091009563137046,-0.03544189148691272,-0.05556767165013328,6.497145,11.791114,0.00536793
Ti-O,TiO2_554278_POSCAR,35,global_gradient_fallback,5.46205865,-0.061811243198923,-0.026454158262453013,-0.03535708493646998,5.085365,9.228996,0.00485768
Ti-O,TiO2_636827_POSCAR,35,global_gradient_fallback,4.699053,-0.021091298243886,-0.008594873491346909,-0.01249642475253909,4.229148,7.67512,0.00173986
Ti-O,TiO2_655656_POSCAR,35,global_gradient_fallback,9.850331175,-0.041948196292423,-0.017123090852730786,-0.024825105439692217,8.865298,16.088874,0.00164881
Ti-O,TiO2_754769_POSCAR,35,local_max_drop,27.1980840865,-0.14924601088638,-0.0594925156854647,-0.0897534952009153,26.260219,45.955383,0.00218968
Ti-O,TiO2_756587_POSCAR,35,local_max_drop,8.623247382,-0.14812784456,-0.05423749094948936,-0.09389035361051064,8.028541,14.570315,0.00604791
Ti-O,TiO2_756655_POSCAR,35,local_max_drop,12.8801811185,-0.14109146288839,-0.05483344387370551,-0.0862580190146845,12.436037,21.763065,0.00410435
Ti-O,TiO2_775938_POSCAR,35,local_max_drop,6.589172766,-0.23517662539986,-0.09683748754132182,-0.13833913785853819,6.36196,11.13343,0.01530585
Ti-O,TiO2_777129_POSCAR,35,local_max_drop,13.47408441,-0.11581050857586,-0.048662001273492,-0.067148507302368,12.575812,22.007671,0.00257056
Ti-O,TiO2_849533_POSCAR,35,local_max_drop,4.3743687,-0.13218149074583,-0.051755356727216296,-0.0804261340186137,4.223528,7.391175,0.01147017
Ti-O,TiO_1071163_POSCAR,35,local_max_drop,4.022638816,-0.094854489527306,-0.028613626904327734,-0.06624086262297826,3.735307,7.039618,0.00688157
Ti-O,TiO_1203_POSCAR,35,local_max_drop,5.9939589758,-0.14152494575843,-0.04091300222085815,-0.10061194353757186,5.580582,10.127724,0.00663174
Ti-O,TiO_1244926_POSCAR,35,local_max_drop,15.1174301533,-1.2543197941453,-0.38987306724691545,-0.8644467268983844,13.553558,25.543244,0.02638932
Ti-O,TiO_1244944_POSCAR,35,local_max_drop,15.463252883,-1.2584854593046,-0.3855097654433623,-0.8729756938612376,13.863606,26.127565,0.02534916
Ti-O,TiO_1245141_POSCAR,35,local_max_drop,15.6586610308,-1.244778833053,-0.37862217584920493,-0.8661566572037951,14.0388,26.457738,0.02430591
Ti-O,TiO_1245294_POSCAR,35,local_max_drop,15.31471241,-1.2608821403681,-0.3836159605006687,-0.8772661798674314,13.730432,25.876583,0.02517216
Ti-O,TiO_1245324_POSCAR,35,local_max_drop,15.0616903486,-1.2216638263225,-0.3721245470606077,-0.8495392792618922,13.503584,25.449063,0.02494386
Ti-O,TiO_2664_POSCAR,35,global_gradient_fallback,3.6773687314,-0.035533416672213,-0.029379539248174116,-0.0061538774240388824,2.101354,6.435395,0.00966568
Ti-O,TiO_673667_POSCAR,35,local_max_drop,5.9924302009,-0.608607270089,-0.1788814969854038,-0.42972577310359616,5.564399,10.486753,0.02735268
Ti-O,TiO_685151_POSCAR,35,local_max_drop,3.937202091,-0.16953364037092,-0.04962421282330366,-0.11990942754761634,3.655973,6.890104,0.01162123
Ti-O,TiO_754333_POSCAR,35,global_gradient_fallback,3.992251242,-0.065958176028607,-0.058501417419466184,-0.007456758609140815,2.281286,6.98644,0.01765204
Ti-O,TiO_755300_POSCAR,35,local_max_drop,5.9256686,-0.079127348966656,-0.02281516626487385,-0.056312182701782156,5.517002,10.012337,0.00374071
